"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*03nwl*","PG","Terry Rozier","CHA","PG,SG,G,Flx","Act","TOR<br/>Mon 7:00PM","1053.1","25.69","41","41","3.0","8.1",".375","1.9","2.3","0.7","3.5","1","0","1.4","2","0","0"
"*01eon*","SG","DeMar DeRozan","CHI","SG,G,SF,PF,F,Flx","Act","PHO<br/>Mon 8:00PM","1580.5","32.26","49","49","0.6","1.9",".330","6.8","7.9","0.9","4.4","5","0","2.2","5","1","0"
"*03nwk*","G","Kelly Oubre Jr.","CHA","SG,G,SF,F,Flx","Act","TOR<br/>Mon 7:00PM","489.2","23.3","21","4","3.4","9.4",".360","2.4","3.5","1.0","3.3","1","0","2.9","1","1","1"
"*03ams*","SF","Zach LaVine","CHI","SG,G,SF,F,Flx","Act","PHO<br/>Mon 8:00PM","1288.5","29.28","44","44","2.8","7.2",".397","4.1","4.8","0.3","4.5","0","0","1.7","2","0","0"
"*03al2*","PF","Joel Embiid","PHI","PF,F,C,Flx","Act","","1592.5","39.81","40","40","1.3","3.5",".360","8.8","10.9","2.0","8.8","22","1","2.5","11","1","0"
"*03byg*","F","Montrezl Harrell","WAS","PF,F,C,Flx","Act","MIA<br/>Mon 7:00PM","938.6","21.83","43","3","0.1","0.3",".214","3.2","4.4","2.2","4.8","6","0","1.9","8","1","1"
"*049kf*","C","Mo Bamba","ORL","C,Flx","Act","","633.1","19.78","32","32","1.1","3.7",".299","0.8","0.9","2.1","5.7","7","0","2.3","4","0","0"
"*03byk*","Flx","Jordan Clarkson","UTA","PG,SG,G,Flx","Act","NY<br/>Mon 9:00PM","357.5","17.88","20","0","2.3","7.3",".308","1.9","2.4","0.8","3.0","0","0","2.3","2","0","0"
"*031m4*","PG","Dennis Schroder","BOS","PG,G,Flx","Res","","398.1","18.96","21","15","1.2","4.0",".306","2.6","2.9","0.5","2.9","0","0","2.7","1","1","0"
"*042n3*","SG","Buddy Hield","SAC","SG,G,SF,F,Flx","Res","","777.5","18.08","43","6","3.2","8.6",".373","1.5","1.7","0.7","3.2","0","0","2.0","0","0","0"
"*051pi*","Flx","Daniel Gafford","WAS","PF,F,C,Flx","Res","MIA<br/>Mon 7:00PM","346.8","17.34","20","18","0.0","0.0","0","1.3","1.6","2.5","3.9","3","0","2.3","1","0","0"
"*042nw*","SG","Malcolm Brogdon","IND","PG,SG,G,Flx","IR","","748.9","26.75","28","28","1.6","5.4",".307","3.8","4.4","0.9","4.3","3","1","2.0","0","1","0"
"*04qrm*","Flx","Collin Sexton","CLE","PG,SG,G,Flx","IR","","128","16","8","8","1.0","4.1",".242","2.5","3.5","1.1","2.0","0","0","2.9","0","0","0"
"*027os*","PG","Kemba Walker","NY","PG,G,Flx","-","@UTA<br/>Mon 9:00PM","184.5","16.77","11","11","2.2","5.2",".421","1.2","1.5","0.2","2.6","0","0","1.0","1","0","0"
"*0527l*","SG","Luguentz Dort","OKC","SG,G,SF,F,Flx","-","GS<br/>Mon 8:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*051ok*","SF","De'Andre Hunter","ATL","SF,PF,F,Flx","-","","15.8","15.8","1","1","1.0","3.0",".333","0.0","0.0","0.0","3.0","0","0","3.0","0","0","0"
"*05qtm*","PF","Precious Achiuwa","TOR","SF,PF,F,C,Flx","-","@CHA<br/>Mon 7:00PM","17.4","17.4","1","1","1.0","2.0",".500","2.0","4.0","2.0","9.0","1","0","2.0","0","0","0"
"*0019g*","PF","LaMarcus Aldridge","BKN","PF,F,C,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*051os*","PF","P.J. Washington","CHA","PF,F,C,Flx","-","TOR<br/>Mon 7:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*031lz*","C","Steven Adams","MEM","C,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"","Totals","","","","","","10550","24.94","423","301","1.7","4.9",".355","3.5","4.3","1.2","4.4","49","2","2.1","38","6","2"
