ID;Pos;Player;Team;Eligible;Status;Opponent;Fantasy Points;Average Fantasy Points per Game;GP;GS;3PTM;3PTA;3PT%;FTM;FTA;OREB;DREB;2DO;3D;PF;TF;FF;EJ
*04qro*;PG;Shai Gilgeous-Alexander;OKC;PG,SG,G,Flx;Act;GS<br/>Mon 8:00PM;577.3;32.07;18;18;1.0;4.6;.220;6.6;8.2;0.9;4.1;2;1;2.6;0;0;0
*02ng4*;SG;Will Barton;DEN;SG,G,SF,F,Flx;Act;;997.6;22.67;44;44;2.3;6.2;.375;1.4;1.8;0.7;4.3;1;0;1.5;1;0;0
*04ewu*;G;Josh Hart;NO;SG,G,SF,F,Flx;Act;;708.6;24.43;29;29;1.1;3.3;.330;3.4;4.6;1.3;6.7;11;0;2.8;7;0;1
*042n1*;SF;Brandon Ingram;NO;SF,PF,F,Flx;Act;;439.7;29.31;15;15;1.3;3.9;.322;5.1;6.3;0.7;4.7;4;0;1.8;3;0;1
*03el5*;PF;Kristaps Porzingis;DAL;PF,F,C,Flx;Act;;280.2;25.47;11;11;1.2;4.3;.277;4.2;4.9;1.2;5.6;1;0;2.8;2;0;1
*04qrn*;F;Mikal Bridges;PHO;SG,G,SF,F,Flx;Act;@CHI<br/>Mon 8:00PM;89.5;29.83;3;3;2.0;5.3;.375;2.0;2.0;1.3;5.0;0;0;1.7;0;0;0
*03e6n*;C;Jusuf Nurkic;POR;C,Flx;Act;;1287.4;25.24;51;51;0.2;1.0;.245;3.1;4.6;2.9;7.9;26;0;3.4;6;1;1
*05qsq*;Flx;Tyrese Maxey;PHI;PG,SG,G,Flx;Act;;787.6;25.41;31;30;1.5;3.8;.398;3.0;3.4;0.4;3.6;1;0;2.2;0;0;0
*02nf6*;PG;Damian Lillard;POR;PG,G,Flx;Res;;849;30.32;28;28;3.2;9.6;.330;5.3;5.9;0.4;3.5;7;0;1.3;6;0;1
*049kc*;SG;Malik Monk;LAL;PG,SG,G,Flx;Res;;236.4;26.27;9;9;4.0;8.0;.500;1.3;2.2;0.7;4.3;1;0;2.2;1;0;0
*027pg*;SF;Bojan Bogdanovic;UTA;SF,PF,F,Flx;Res;NY<br/>Mon 9:00PM;557.4;19.22;29;29;2.1;5.8;.361;3.2;3.7;0.9;3.2;1;0;1.5;3;0;0
