"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*05qto*","PG","LaMelo Ball","CHA","PG,SG,G,Flx","Act","TOR<br/>Mon 7:00PM","1476.7","31.42","47","47","2.6","7.1",".360","3.0","3.4","1.6","5.6","12","4","3.1","4","2","0"
"*04848*","SG","Fred VanVleet","TOR","PG,SG,G,Flx","Act","@CHA<br/>Mon 7:00PM","1453.1","31.59","46","46","3.9","9.9",".393","3.1","3.6","0.8","3.9","9","1","2.4","4","0","0"
"*05qt3*","G","Desmond Bane","MEM","PG,SG,G,SF,F,Flx","Act","","790.4","24.7","32","32","3.1","7.2",".432","1.6","1.8","0.5","4.3","0","0","2.5","1","0","0"
"*051oj*","SF","RJ Barrett","NY","SG,G,SF,F,Flx","Act","@UTA<br/>Mon 9:00PM","759.7","22.34","34","34","2.1","5.7",".361","3.6","5.1","0.7","5.3","3","0","2.1","1","0","0"
"*02ng3*","PF","Khris Middleton","MIL","SF,PF,F,Flx","Act","","1142.1","27.19","42","42","2.4","6.2",".385","4.0","4.5","0.6","4.9","3","0","2.4","3","0","0"
"*04ewf*","F","Bam Adebayo","MIA","PF,F,C,Flx","Act","@WAS<br/>Mon 7:00PM","807.7","28.85","28","28","0.0","0.1",".000","4.5","5.9","2.7","7.4","15","0","3.3","2","0","0"
"*027p0*","C","Nikola Vucevic","CHI","C,Flx","Act","PHO<br/>Mon 8:00PM","1409.4","31.32","45","45","1.6","5.0",".332","1.2","1.7","2.0","9.5","28","0","2.4","6","1","0"
"*05qtl*","Flx","Cole Anthony","ORL","PG,G,Flx","Act","","884.5","25.27","35","35","2.2","6.8",".319","3.6","4.2","0.7","5.0","5","0","2.6","5","0","0"
"*01eog*","PG","Patty Mills","BKN","PG,G,Flx","Res","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*05qve*","SF","Jae'Sean Tate","HOU","SF,PF,F,Flx","Res","","378.4","19.92","19","19","0.9","2.6",".340","2.5","3.6","1.5","3.4","1","0","4.1","5","0","0"
"*03aq2*","PF","Jerami Grant","DET","SF,PF,F,Flx","Res","","594.8","24.78","24","24","1.8","5.3",".331","5.2","6.1","1.0","3.9","1","0","2.3","0","0","0"
"*04exe*","PG","Monte Morris","DEN","PG,SG,G,Flx","-","","43.7","14.57","3","3","1.0","3.3",".300","0.7","0.7","0.0","2.3","0","0","3.0","0","0","0"
"*042ne*","SG","Malik Beasley","MIN","PG,SG,G,Flx","-","","62.6","20.87","3","3","4.7","13.7",".341","0.0","0.0","0.3","2.3","0","0","1.3","0","0","0"
"*059g0*","SG","Amir Coffey","LAC","SG,G,SF,F,Flx","-","","27.2","13.6","2","2","2.0","6.5",".308","2.5","3.5","0.5","2.5","0","0","3.5","0","0","0"
"*02x1k*","SG","Justin Holiday","IND","SG,G,SF,F,Flx","-","","27.2","13.6","2","2","1.0","3.0",".333","2.0","2.5","1.5","1.0","0","0","3.5","0","0","0"
"*04qrw*","SG","Kevin Huerter","ATL","SG,G,SF,F,Flx","-","","39.3","13.1","3","3","0.7","5.0",".133","0.3","0.3","1.0","2.0","0","0","2.7","0","0","0"
"*04ewd*","SG","Luke Kennard","LAC","SG,G,SF,F,Flx","-","","34","17","2","1","2.0","5.5",".364","0.5","0.5","0.0","6.0","1","0","1.0","0","0","0"
"*02nf8*","SG","Terrence Ross","ORL","SG,G,SF,F,Flx","-","","30.3","15.15","2","0","1.5","5.5",".273","3.0","3.0","0.5","3.5","0","0","2.5","0","0","0"
"*05uif*","SG","Jalen Suggs","ORL","PG,SG,G,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*005l0*","SF","Nicolas Batum","LAC","SF,PF,F,Flx","-","","112.1","22.42","5","5","3.0","5.8",".517","0.4","0.8","0.4","5.4","0","0","1.2","0","0","0"
"*02nfy*","SF","Jae Crowder","PHO","SF,PF,F,Flx","-","@CHI<br/>Mon 8:00PM","25.9","25.9","1","1","3.0","4.0",".750","0.0","0.0","1.0","10.0","0","0","1.0","0","0","0"
"*05uin*","SF","Chris Duarte","IND","PG,SG,G,SF,F,Flx","-","","35.9","17.95","2","2","1.5","4.5",".333","4.0","4.0","0.5","3.5","0","0","1.0","0","0","0"
"*04jwd*","SF","Royce O'Neale","UTA","SF,PF,F,Flx","-","NY<br/>Mon 9:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*0558t*","SF","Max Strus","MIA","SG,G,SF,F,Flx","-","@WAS<br/>Mon 7:00PM","14.5","14.5","1","1","3.0","9.0",".333","2.0","2.0","0.0","2.0","0","0","1.0","0","0","0"
"*05qtm*","PF","Precious Achiuwa","TOR","SF,PF,F,C,Flx","-","@CHA<br/>Mon 7:00PM","11","11","1","1","0.0","3.0",".000","0.0","0.0","3.0","6.0","0","0","3.0","0","0","0"
"*049ki*","PF","Marvin Bagley","SAC","PF,F,C,Flx","-","","40.4","20.2","2","2","0.5","3.5",".143","1.5","1.5","2.0","4.0","0","0","3.0","0","0","0"
"*051p3*","PF","Darius Bazley","OKC","SF,PF,F,Flx","-","GS<br/>Mon 8:00PM","48.7","12.18","4","4","0.5","5.0",".100","2.5","3.5","1.0","5.5","0","0","0.5","0","0","0"
"*04fj8*","PF","Chris Boucher","TOR","PF,F,C,Flx","-","@CHA<br/>Mon 7:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*051p5*","PF","Nassir Little","POR","SF,PF,F,Flx","-","","34.8","11.6","3","3","1.3","4.7",".286","0.0","1.0","1.3","4.7","0","0","2.0","0","0","0"
"*03ad5*","PF","Trey Lyles","DET","PF,F,C,Flx","-","","52.7","17.57","3","0","0.7","3.7",".182","3.3","5.7","1.7","3.3","0","0","2.3","0","0","0"
"*051os*","PF","P.J. Washington","CHA","PF,F,C,Flx","-","TOR<br/>Mon 7:00PM","36.8","18.4","2","0","1.5","4.0",".375","2.0","3.0","1.5","5.5","1","0","4.0","1","0","0"
"*031lz*","C","Steven Adams","MEM","C,Flx","-","","106.7","17.78","6","6","0.0","0.0","0","0.7","1.3","5.0","5.2","1","0","1.3","0","0","0"
"*04qsp*","C","Chimezie Metu","SAC","PF,F,C,Flx","-","","5.4","5.4","1","1","0.0","1.0",".000","0.0","0.0","0.0","3.0","0","0","2.0","1","0","0"
"*031m9*","C","Mason Plumlee","CHA","PF,F,C,Flx","-","TOR<br/>Mon 7:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*042nt*","C","Ivica Zubac","LAC","C,Flx","-","","294.5","18.41","16","16","0.0","0.0","0","2.3","2.9","2.8","5.4","4","0","2.4","0","0","0"
"","Totals","","","","","","10780.5","25.91","416","408","2.0","5.6",".362","2.9","3.6","1.3","5.3","84","5","2.6","33","3","0"
