"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*03e74*","PG","Spencer Dinwiddie","WAS","PG,SG,G,Flx","Act","MIA<br/>Mon 7:00PM","838","20.95","40","40","1.6","5.3",".302","2.8","3.5","0.8","3.8","6","1","2.5","3","0","0"
"*04exe*","SG","Monte Morris","DEN","PG,SG,G,Flx","Act","","488.6","20.36","24","24","1.9","4.6",".414","1.4","1.6","0.5","2.9","0","0","1.0","0","0","0"
"*04ewe*","G","Donovan Mitchell","UTA","PG,SG,G,Flx","Act","NY<br/>Mon 9:00PM","1259.1","30.71","41","41","3.3","9.4",".348","3.7","4.2","0.8","3.1","0","0","2.5","4","0","1"
"*02nf7*","SF","Harrison Barnes","SAC","SF,PF,F,Flx","Act","","900.6","23.09","39","39","2.1","5.1",".411","4.9","6.0","1.2","5.1","4","0","1.2","0","0","0"
"*02nf1*","PF","Anthony Davis","LAL","PF,F,C,Flx","Act","","1158.1","35.09","33","33","0.3","1.9",".175","4.4","6.1","2.9","7.2","17","0","2.6","3","0","1"
"*03r7z*","F","Norman Powell","LAC","SG,G,SF,F,Flx","Act","","704.6","22.73","31","30","2.5","6.0",".417","4.4","5.4","0.4","2.7","0","0","2.6","0","0","0"
"*03ad3*","C","Karl-Anthony Towns","MIN","C,Flx","Act","","1588.8","34.54","46","46","2.2","5.3",".406","4.9","6.1","2.8","6.8","23","1","3.6","10","1","0"
"*04qs4*","Flx","Robert Williams","BOS","PF,F,C,Flx","Act","","961.6","25.31","38","38","0.0","0.0",".000","1.1","1.5","3.9","5.8","14","1","2.2","2","0","0"
"*027p9*","SG","Reggie Jackson","LAC","PG,SG,G,Flx","Res","","884.4","20.57","43","43","2.3","7.3",".321","1.9","2.2","0.5","3.1","3","0","2.1","1","0","0"
"*05ujc*","Flx","Ayo Dosunmu","CHI","PG,SG,G,Flx","Res","PHO<br/>Mon 8:00PM","127.9","21.32","6","6","1.5","3.5",".429","1.8","1.8","0.2","4.5","0","0","3.2","0","0","0"
"*05uii*","G","Franz Wagner","ORL","PG,SG,G,SF,PF,F,Flx","Res","","708.4","22.85","31","31","1.2","3.2",".367","3.1","3.5","0.8","3.7","2","0","2.1","0","0","0"
"*05qu9*","PG","Immanuel Quickley","NY","PG,G,Flx","-","@UTA<br/>Mon 9:00PM","101.7","14.53","7","1","2.3","6.0",".381","1.1","1.3","0.4","2.3","0","0","2.3","0","0","0"
"*04qry*","SG","Grayson Allen","MIL","SG,G,SF,F,Flx","-","","47.5","23.75","2","2","3.5","6.5",".538","2.0","2.0","0.0","2.0","0","0","1.0","0","0","0"
"*03byk*","SG","Jordan Clarkson","UTA","PG,SG,G,Flx","-","NY<br/>Mon 9:00PM","80.4","20.1","4","0","3.0","9.0",".333","3.5","3.8","1.0","2.3","0","0","1.5","0","0","0"
"*051pq*","SG","Talen Horton-Tucker","LAL","SG,G,SF,F,Flx","-","","102.3","14.61","7","4","0.7","2.7",".263","1.3","1.4","1.0","4.3","1","0","3.7","0","0","0"
"*05uj1*","SG","Cameron Thomas","BKN","PG,SG,G,Flx","-","","6.8","6.8","1","0","0.0","1.0",".000","0.0","0.0","0.0","2.0","0","0","3.0","0","0","0"
"*04qrv*","SG","Lonnie Walker","SA","SG,G,SF,F,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*05qtj*","SF","Deni Avdija","WAS","SG,G,SF,F,Flx","-","MIA<br/>Mon 7:00PM","67.9","16.97","4","1","0.8","5.0",".150","2.5","3.0","0.8","5.5","0","0","3.8","0","0","0"
"*05uin*","SF","Chris Duarte","IND","PG,SG,G,SF,F,Flx","-","","140.9","15.66","9","7","2.2","6.0",".370","0.6","0.8","0.2","3.2","0","0","2.1","2","0","1"
"*051oq*","SF","Cam Reddish","NY","SG,G,SF,F,Flx","-","@UTA<br/>Mon 9:00PM","85.5","17.1","5","5","2.0","5.8",".345","2.6","2.8","0.2","2.2","0","0","1.2","0","0","0"
"*051p3*","PF","Darius Bazley","OKC","SF,PF,F,Flx","-","GS<br/>Mon 8:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*051p1*","PF","Brandon Clarke","MEM","SF,PF,F,Flx","-","","146","20.86","7","1","0.3","0.4",".667","1.4","1.9","2.1","3.6","0","0","1.3","0","0","0"
"*051op*","PF","Rui Hachimura","WAS","SF,PF,F,Flx","-","MIA<br/>Mon 7:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*05qtt*","C","Onyeka Okongwu","ATL","PF,F,C,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*031m9*","C","Mason Plumlee","CHA","PF,F,C,Flx","-","TOR<br/>Mon 7:00PM","71.9","14.38","5","5","0.0","0.0","0","1.0","2.6","2.2","6.0","0","0","3.8","0","0","0"
"*0527h*","C","Naz Reid","MIN","C,Flx","-","","28.2","14.1","2","1","0.5","2.5",".200","0.5","1.0","1.5","4.0","0","0","1.0","0","0","0"
"","Totals","","","","","","10499.2","24.7","425","398","1.7","4.8",".357","3.1","3.8","1.4","4.4","70","3","2.3","25","1","3"
