"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*0015b*","PG","Kyle Lowry","MIA","PG,G,Flx","Act","@WAS<br/>Mon 7:00PM","898.3","23.64","38","38","2.0","6.2",".328","2.4","2.9","0.6","3.8","11","1","2.7","8","0","1"
"*03nwm*","SG","Devin Booker","PHO","SG,G,SF,F,Flx","Act","@CHI<br/>Mon 8:00PM","1347.7","29.95","45","45","2.6","7.0",".369","4.2","4.9","0.8","4.6","2","0","2.5","8","0","0"
"*042nf*","G","Caris LeVert","CLE","SG,G,SF,F,Flx","Act","","686","25.41","27","27","1.7","4.9",".338","3.1","4.2","1.0","3.2","1","0","2.4","0","0","0"
"*027p4*","SF","Tobias Harris","PHI","SF,PF,F,Flx","Act","","1195.2","27.16","44","44","1.2","3.5",".342","3.1","3.7","1.1","6.2","6","1","2.0","1","0","0"
"*042nm*","PF","Pascal Siakam","TOR","PF,F,C,Flx","Act","@CHA<br/>Mon 7:00PM","1180.7","31.91","37","37","1.1","3.1",".351","4.2","5.7","2.2","6.6","15","0","3.5","3","0","0"
"*04ewk*","F","John Collins","ATL","PF,F,C,Flx","Act","","1239","26.36","47","47","1.3","3.3",".392","2.6","3.3","1.7","6.4","15","0","3.0","3","1","0"
"*049kd*","C","Deandre Ayton","PHO","C,Flx","Act","@CHI<br/>Mon 8:00PM","766.9","26.44","29","29","0.1","0.3",".250","2.0","2.7","2.6","7.8","15","0","2.0","3","1","0"
"*03e6s*","Flx","Clint Capela","ATL","C,Flx","Act","","1126.5","25.6","44","44","0.0","0.0",".000","1.2","2.5","3.9","8.4","22","0","2.4","0","0","0"
"*03ad4*","PG","D'Angelo Russell","MIN","PG,SG,G,Flx","Res","","1032.9","26.48","39","39","3.0","8.5",".353","2.9","3.5","0.3","3.3","8","0","2.2","0","0","0"
"*005kf*","F","Eric Gordon","HOU","SG,G,SF,F,Flx","Res","","110.6","15.8","7","7","2.0","4.6",".438","2.0","2.1","0.1","1.4","0","0","0.6","0","0","0"
"*04jwd*","Flx","Royce O'Neale","UTA","SF,PF,F,Flx","Res","NY<br/>Mon 9:00PM","42.2","14.07","3","3","2.0","3.3",".600","0.7","0.7","0.3","3.3","0","0","2.0","0","0","0"
"*03ad2*","C","Myles Turner","IND","PF,F,C,Flx","IR","","857","23.16","37","37","1.5","4.4",".329","2.0","2.7","1.5","5.5","7","0","3.0","1","0","1"
"*042nt*","C","Ivica Zubac","LAC","C,Flx","IR","","160.3","17.81","9","9","0.0","0.0","0","2.4","3.4","2.1","5.0","3","0","3.1","0","0","0"
"*01uyx*","PG","Eric Bledsoe","POR","PG,SG,G,Flx","-","","25.3","8.43","3","3","0.3","3.3",".100","1.7","2.0","0.3","2.3","0","0","2.0","0","0","0"
"*01eog*","PG","Patty Mills","BKN","PG,G,Flx","-","","145.4","16.16","9","9","3.1","8.6",".364","0.9","1.0","0.2","1.4","0","0","1.6","0","0","0"
"*03r7v*","SG","Pat Connaughton","MIL","SG,G,SF,F,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*02nfk*","SG","Evan Fournier","NY","SG,G,SF,F,Flx","-","@UTA<br/>Mon 9:00PM","77.3","15.46","5","5","2.0","6.8",".294","2.4","3.0","1.2","1.4","0","0","0.8","0","0","0"
"*04ewd*","SG","Luke Kennard","LAC","SG,G,SF,F,Flx","-","","30.2","30.2","1","1","7.0","11.0",".636","0.0","0.0","0.0","3.0","0","0","1.0","0","0","0"
"*052fs*","SG","Garrison Mathews","HOU","SG,G,SF,F,Flx","-","","14.3","14.3","1","1","2.0","8.0",".250","4.0","5.0","0.0","1.0","0","0","5.0","0","0","0"
"*03aq3*","SF","Kyle Anderson","MEM","SF,PF,F,C,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*03r7m*","SF","Cedi Osman","CLE","SF,PF,F,Flx","-","","16.5","16.5","1","0","2.0","6.0",".333","3.0","4.0","0.0","3.0","0","0","2.0","0","0","0"
"*051p3*","PF","Darius Bazley","OKC","SF,PF,F,Flx","-","GS<br/>Mon 8:00PM","18.5","18.5","1","1","3.0","6.0",".500","1.0","2.0","0.0","6.0","0","0","3.0","0","0","0"
"*005lx*","C","JaVale McGee","PHO","C,Flx","-","@CHI<br/>Mon 8:00PM","19.3","19.3","1","1","0.0","0.0","0","8.0","12.0","1.0","7.0","0","0","4.0","0","0","0"
"","Totals","","","","","","10990.1","25.68","428","427","1.5","4.2",".353","2.7","3.5","1.5","5.4","105","2","2.5","27","2","2"
