"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*0017e*","PG","Chris Paul","PHO","PG,G,Flx","Act","@CHI<br/>Mon 8:00PM","1549.7","29.8","52","52","1.1","3.2",".335","2.6","3.2","0.3","4.2","24","2","2.2","8","0","0"
"*05uig*","SG","Josh Giddey","OKC","PG,SG,G,Flx","Act","GS<br/>Mon 8:00PM","985.3","22.39","44","44","1.0","4.1",".249","0.8","1.2","1.8","5.9","10","1","1.7","0","0","0"
"*04kj6*","G","Luka Doncic","DAL","PG,SG,G,Flx","Act","","1401.5","37.88","37","37","2.5","8.0",".308","5.0","6.8","1.0","7.8","16","8","2.4","10","0","0"
"*031m2*","PF","Giannis Antetokounmpo","MIL","PF,F,C,Flx","Act","","1702.1","41.51","41","41","1.1","4.0",".288","8.0","11.1","1.8","9.5","21","4","3.0","1","0","0"
"*03al0*","F","Aaron Gordon","DEN","SF,PF,F,Flx","Act","","591.6","18.49","32","32","1.0","3.2",".307","1.7","2.6","1.6","3.3","1","0","1.7","6","0","1"
"*027oo*","C","Jonas Valanciunas","NO","C,Flx","Act","","1343","29.2","46","46","1.0","2.4",".405","3.2","4.0","3.4","8.2","32","0","3.2","4","0","0"
"*027oj*","Flx","Kyrie Irving","BKN","PG,SG,G,Flx","Act","","328","29.82","11","11","2.6","7.0",".377","2.6","2.9","0.7","4.2","1","0","2.3","0","0","0"
"*03al1*","PG","Marcus Smart","BOS","PG,SG,G,Flx","Res","","49","24.5","2","2","1.0","4.0",".250","3.0","3.0","1.5","2.5","0","0","2.5","0","0","0"
"*03e6u*","PF","Bogdan Bogdanovic","ATL","SG,G,SF,PF,F,Flx","Res","","237.3","18.25","13","7","2.5","7.0",".352","1.1","1.3","0.3","3.8","0","0","2.4","0","0","0"
"*01uz7*","SF","Gordon Hayward","CHA","SG,G,SF,F,Flx","Res","TOR<br/>Mon 7:00PM","1059.3","23.54","45","45","1.8","4.6",".397","2.8","3.3","0.8","3.9","1","0","1.8","1","0","0"
"*00129*","SF","Carmelo Anthony","LAL","SF,PF,F,Flx","IR","","564.5","19.47","29","3","2.6","6.4",".398","1.7","2.1","0.8","3.7","1","0","2.3","7","1","0"
"*04azw*","PF","Lauri Markkanen","CLE","PF,F,C,Flx","IR","","610","19.06","32","32","2.0","5.8",".344","1.3","1.6","0.9","4.2","1","0","2.0","0","0","0"
"*0496e*","PG","Alex Caruso","CHI","PG,SG,G,Flx","-","PHO<br/>Mon 8:00PM","139.9","15.54","9","5","1.2","3.2",".379","1.0","1.6","1.2","2.6","0","0","1.8","1","0","0"
"*04qsm*","PG","De'Anthony Melton","MEM","PG,SG,G,Flx","-","","21.2","7.07","3","3","0.7","4.0",".167","0.7","0.7","0.3","3.0","0","0","1.7","0","0","0"
"*01uz9*","PF","Nemanja Bjelica","GS","PF,F,Flx","-","@OKC<br/>Mon 8:00PM","10","10","1","0","0.0","0.0","0","0.0","0.0","1.0","5.0","0","0","0.0","0","0","0"
"*0018r*","PF","Thaddeus Young","SA","PF,F,C,Flx","-","","44.4","14.8","3","0","0.0","0.0","0","0.3","1.3","1.7","2.7","0","0","1.7","0","0","0"
"*027oq*","C","Bismack Biyombo","PHO","C,Flx","-","@CHI<br/>Mon 8:00PM","49.5","12.38","4","2","0.0","0.0","0","1.0","2.3","2.8","4.0","2","0","1.8","0","0","0"
"","Totals","","","","","","10686.3","26.45","404","362","1.5","4.5",".337","2.9","3.8","1.3","5.5","110","15","2.2","38","1","1"
