"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*051pa*","PG","Kevin Porter","HOU","PG,SG,G,SF,F,Flx","Act","","536.4","18.5","29","29","2.2","6.0",".364","1.9","3.3","0.7","3.1","4","0","2.6","5","1","1"
"*031lx*","SG","CJ McCollum","POR","PG,SG,G,Flx","Act","","945","26.25","36","36","3.1","8.0",".384","1.3","1.9","0.9","3.3","1","0","2.1","2","2","0"
"*051p8*","G","Jordan Poole","GS","PG,SG,G,Flx","Act","@OKC<br/>Mon 8:00PM","463.6","21.07","22","15","2.6","6.9",".377","3.5","3.9","0.4","3.0","0","0","2.7","1","0","0"
"*027pe*","SF","Jimmy Butler","MIA","SF,PF,F,Flx","Act","@WAS<br/>Mon 7:00PM","1145.5","32.73","35","35","0.4","1.9",".212","7.0","7.9","1.9","4.4","6","4","1.4","6","0","1"
"*051p9*","PF","Keldon Johnson","SA","SF,PF,F,Flx","Act","","862.2","20.53","42","42","1.8","4.1",".434","1.9","2.7","1.1","5.2","5","0","2.0","0","0","0"
"*027oy*","F","Marcus Morris","LAC","PF,F,C,Flx","Act","","319","21.27","15","15","1.9","5.3",".367","3.1","3.7","0.7","4.8","1","0","2.3","1","1","0"
"*02xg9*","C","Rudy Gobert","UTA","C,Flx","Act","NY<br/>Mon 9:00PM","1369","32.6","42","42","0.0","0.0",".000","4.7","6.8","3.7","11.4","35","0","2.7","6","1","1"
"*04qrl*","Flx","Wendell Carter","ORL","PF,F,C,Flx","Act","","1056.7","24.57","43","43","1.1","3.6",".320","2.2","3.0","2.1","8.2","21","0","2.8","3","0","1"
"*051ok*","Flx","De'Andre Hunter","ATL","SF,PF,F,Flx","Res","","185.6","18.56","10","10","1.5","3.9",".385","3.0","4.0","0.4","3.6","1","0","2.9","0","0","0"
"*02nf9*","C","Andre Drummond","PHI","C,Flx","Res","","113.4","18.9","6","1","0.0","0.0","0","0.5","1.8","2.7","7.2","1","0","2.7","0","0","0"
"*04qsd*","C","Mitchell Robinson","NY","C,Flx","Res","@UTA<br/>Mon 9:00PM","233.8","17.98","13","13","0.0","0.0","0","1.3","2.9","4.1","4.9","2","0","2.9","1","1","0"
"*03lg1*","Flx","Ben Simmons","PHI","PG,G,Flx","IR","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*01uyj*","SF","Paul George","LAC","SF,PF,F,Flx","IR","","830.9","31.96","26","26","2.7","8.3",".323","4.0","4.5","0.4","6.7","6","0","2.5","4","0","0"
"*01uyx*","PG","Eric Bledsoe","POR","PG,SG,G,Flx","-","","40.1","13.37","3","3","0.3","2.3",".143","1.0","1.0","0.3","4.7","0","0","0.3","0","0","0"
"*0496e*","PG","Alex Caruso","CHI","PG,SG,G,Flx","-","PHO<br/>Mon 8:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*04qsb*","PG","Devonte' Graham","NO","PG,SG,G,Flx","-","","514.2","19.78","26","26","2.8","8.3",".336","2.2","2.7","0.6","2.2","0","0","1.3","2","0","0"
"*01eog*","PG","Patty Mills","BKN","PG,G,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*00107*","PG","Rajon Rondo","CLE","PG,G,Flx","-","","14.9","14.9","1","0","1.0","3.0",".333","0.0","0.0","1.0","3.0","0","0","2.0","0","0","0"
"*027ov*","SG","Alec Burks","NY","SG,G,SF,F,Flx","-","@UTA<br/>Mon 9:00PM","196.3","17.85","11","10","1.6","5.0",".327","4.0","4.7","0.7","4.0","0","0","2.3","0","0","0"
"*056aq*","SG","Terence Davis","SAC","SG,G,SF,F,Flx","-","","8.4","8.4","1","1","1.0","2.0",".500","2.0","3.0","0.0","2.0","0","0","0.0","0","0","0"
"*02nfk*","SG","Evan Fournier","NY","SG,G,SF,F,Flx","-","@UTA<br/>Mon 9:00PM","50.3","12.57","4","4","2.3","7.5",".300","0.8","1.0","0.5","2.8","0","0","1.8","1","0","0"
"*04ewd*","SG","Luke Kennard","LAC","SG,G,SF,F,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*05qsq*","SG","Tyrese Maxey","PHI","PG,SG,G,Flx","-","","32.4","16.2","2","2","0.5","4.5",".111","3.0","3.5","1.5","2.0","0","0","4.0","0","0","0"
"*04qsu*","SG","Shake Milton","PHI","PG,SG,G,Flx","-","","11.2","11.2","1","0","1.0","2.0",".500","1.0","2.0","2.0","0.0","0","0","2.0","0","0","0"
"*04qs1*","SG","Anfernee Simons","POR","PG,SG,G,Flx","-","","64.4","16.1","4","0","3.3","7.0",".464","1.8","2.0","0.8","1.5","0","0","2.8","0","0","0"
"*04qrn*","SF","Mikal Bridges","PHO","SG,G,SF,F,Flx","-","@CHI<br/>Mon 8:00PM","167.3","18.59","9","9","1.0","2.6",".391","1.4","1.4","1.6","2.4","0","0","2.8","1","0","0"
"*05uin*","SF","Chris Duarte","IND","PG,SG,G,SF,F,Flx","-","","45.3","22.65","2","2","1.0","3.5",".286","3.5","4.0","0.5","3.0","0","0","1.0","0","0","0"
"*055qo*","SF","Caleb Martin","MIA","SF,F,Flx","-","@WAS<br/>Mon 7:00PM","13.8","13.8","1","1","1.0","3.0",".333","2.0","2.0","1.0","2.0","0","0","1.0","0","0","0"
