"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*049kb*","PG","De'Aaron Fox","SAC","PG,G,Flx","Act","","1065.8","24.79","43","43","0.9","3.7",".248","4.4","5.9","0.5","3.3","1","0","2.8","4","1","2"
"*03lls*","SG","Jaylen Brown","BOS","SG,G,SF,F,Flx","Act","","1169.8","28.53","41","41","2.7","7.8",".349","3.8","4.9","0.8","5.7","7","1","2.7","3","0","0"
"*04ewt*","G","Derrick White","SA","PG,SG,G,Flx","Act","","1093.4","22.78","48","47","1.6","5.3",".312","2.8","3.3","0.5","3.0","2","0","2.4","0","0","0"
"*031mb*","SF","Tim Hardaway","DAL","SG,G,SF,F,Flx","Act","","584.5","18.85","31","11","2.5","7.2",".347","1.9","2.6","0.3","3.6","0","0","1.8","1","0","0"
"*042n7*","PF","Domantas Sabonis","IND","PF,F,C,Flx","Act","","1551.3","33.01","47","46","0.7","2.3",".324","4.1","5.5","3.3","8.8","29","5","3.1","1","1","0"
"*02ym0*","F","Andrew Wiggins","GS","SG,G,SF,F,Flx","Act","@OKC<br/>Mon 8:00PM","1064.1","22.64","47","47","2.3","5.4",".418","2.2","3.3","1.0","3.2","0","0","1.9","0","1","0"
"*04qrj*","C","Jaren Jackson","MEM","PF,F,C,Flx","Act","","1186.5","23.26","51","51","1.6","5.4",".304","3.4","4.3","1.4","4.4","4","0","3.4","2","0","0"
"*042n6*","Flx","Jakob Poeltl","SA","C,Flx","Act","","1076.5","25.63","42","42","0.0","0.0","0","1.3","2.7","4.0","5.2","17","0","3.1","0","1","0"
"*038ia*","SG","Seth Curry","PHI","PG,SG,G,Flx","Res","","61.6","20.53","3","3","1.3","3.3",".400","1.0","1.3","0.3","2.3","0","0","3.3","0","0","0"
"*05uic*","PG","Jalen Green","HOU","PG,SG,G,Flx","Res","","38.9","9.72","4","4","1.0","4.8",".211","1.5","1.8","0.8","2.0","0","0","2.0","0","0","0"
"*04ewn*","SF","OG Anunoby","TOR","SF,PF,F,Flx","Res","@CHA<br/>Mon 7:00PM","367.6","26.26","14","14","2.6","7.4",".350","2.4","2.9","1.7","3.8","1","0","2.6","0","0","0"
"*049ki*","PF","Marvin Bagley","SAC","PF,F,C,Flx","-","","8.2","8.2","1","0","0.0","2.0",".000","2.0","5.0","1.0","5.0","0","0","1.0","0","0","0"
"","Totals","","","","","","9268.2","24.91","372","349","1.5","4.6",".334","3.0","4.0","1.5","4.6","61","6","2.7","11","4","2"
