"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*05uib*","PG","Cade Cunningham","DET","PG,SG,G,Flx","Act","","701.1","21.91","32","32","1.9","5.9",".323","1.7","2.0","0.8","4.5","3","2","2.9","3","0","1"
"*049sa*","SG","Hamidou Diallo","DET","SG,G,SF,F,Flx","Act","","16.1","16.1","1","1","0.0","2.0",".000","1.0","2.0","2.0","4.0","0","0","4.0","1","0","0"
"*01eo9*","G","Jrue Holiday","MIL","PG,SG,G,Flx","Act","","1101.2","28.24","39","37","1.9","4.6",".408","1.8","2.5","0.9","3.6","7","0","1.8","1","0","0"
"*04qrp*","SF","Miles Bridges","CHA","SF,PF,F,Flx","Act","TOR<br/>Mon 7:00PM","1443.5","28.87","50","50","1.9","5.9",".316","3.1","4.0","1.2","6.0","9","0","2.6","5","0","0"
"*05uie*","PF","Scottie Barnes","TOR","SF,PF,F,Flx","Act","@CHA<br/>Mon 7:00PM","141.2","23.53","6","6","1.0","3.0",".333","2.5","3.5","2.2","5.7","0","0","3.0","0","0","0"
"*03nwq*","F","Christian Wood","HOU","PF,F,C,Flx","Act","","617.4","28.06","22","21","2.1","5.1",".411","3.4","5.2","1.5","7.9","10","0","2.3","2","0","0"
"*051oo*","C","Jaxson Hayes","NO","C,Flx","Act","","32.4","32.4","1","0","1.0","2.0",".500","4.0","6.0","2.0","5.0","0","0","2.0","0","0","0"
"*04qs1*","Flx","Anfernee Simons","POR","PG,SG,G,Flx","Act","","407.3","25.46","16","16","3.9","10.0",".388","1.9","2.3","0.3","2.7","2","0","1.8","1","0","0"
"*0015e*","PG","Mike Conley","UTA","PG,G,Flx","Res","NY<br/>Mon 9:00PM","527.5","22.93","23","23","2.4","5.6",".434","2.1","2.6","0.7","2.0","2","0","2.1","0","0","0"
"*042nq*","PG","Dejounte Murray","SA","PG,SG,G,Flx","Res","","1619.7","35.21","46","46","1.3","4.2",".320","2.0","2.8","1.3","7.1","15","10","2.1","1","0","0"
"*0011e*","PF","LeBron James","LAL","PG,SG,G,SF,PF,F,Flx","Res","","864.5","45.5","19","19","2.7","7.9",".344","5.2","6.8","1.6","7.8","5","2","2.3","0","0","0"
"*02nfz*","C","Draymond Green","GS","PF,F,C,Flx","IR","@OKC<br/>Mon 8:00PM","663.4","22.88","29","29","0.3","1.2",".265","1.1","1.9","1.1","6.4","2","1","2.9","7","0","0"
"*05uiw*","PF","Isaiah Jackson","IND","SF,PF,F,C,Flx","IR","","0","0","1","1","0.0","0.0","0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0"
"*01ens*","PG","Patrick Beverley","MIN","PG,SG,G,Flx","-","","147.7","18.46","8","8","0.5","3.3",".154","2.6","3.6","0.9","3.8","1","0","2.4","0","0","0"
"*05qt5*","PG","R.J. Hampton","ORL","PG,SG,G,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*042n4*","PG","Jamal Murray","DEN","PG,SG,G,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*049s5*","PG","Dennis Smith","POR","PG,G,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*05g3q*","PG","Gabe Vincent","MIA","PG,G,Flx","-","@WAS<br/>Mon 7:00PM","22.8","22.8","1","1","2.0","6.0",".333","0.0","0.0","1.0","2.0","0","0","4.0","0","0","0"
"*03r7v*","SG","Pat Connaughton","MIL","SG,G,SF,F,Flx","-","","21.3","21.3","1","0","3.0","7.0",".429","2.0","3.0","2.0","5.0","0","0","0.0","0","0","0"
"*038ia*","SG","Seth Curry","PHI","PG,SG,G,Flx","-","","140.8","20.11","7","7","2.0","5.6",".359","2.1","2.1","0.3","3.0","0","0","1.9","0","0","0"
