"","Player"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","3PTM","3PTA","3PT%","FTM","FTA","OREB","DREB","2DO","3D","PF","TF","FF","EJ"
"*01enh*","PG","Stephen Curry","GS","PG,SG,G,Flx","Act","@OKC<br/>Mon 8:00PM","1650.8","34.39","48","48","4.8","12.5",".381","4.4","4.8","0.6","4.8","6","2","2.0","1","0","0"
"*051ot*","SG","Tyler Herro","MIA","PG,SG,G,Flx","Act","@WAS<br/>Mon 7:00PM","965.3","22.98","42","10","2.4","6.7",".360","2.6","3.0","0.6","4.3","2","0","1.6","3","1","2"
"*051ol*","G","Darius Garland","CLE","PG,G,Flx","Act","","1092.4","28.01","39","39","2.6","7.2",".357","2.2","2.4","0.6","2.8","14","1","1.8","2","0","0"
"*04ewr*","SF","Kyle Kuzma","WAS","SF,PF,F,Flx","Act","MIA<br/>Mon 7:00PM","1019.1","25.48","40","40","1.9","5.3",".346","2.4","3.4","1.2","7.4","16","0","1.8","0","0","0"
"*03xmv*","PF","Jayson Tatum","BOS","SF,PF,F,Flx","Act","","1690.9","33.15","51","51","2.8","8.4",".328","5.0","5.9","1.2","7.3","16","0","2.4","8","0","0"
"*03r7r*","F","Richaun Holmes","SAC","PF,F,C,Flx","Act","","661.2","21.33","31","31","0.1","0.2",".400","1.8","2.3","2.5","6.0","8","0","3.0","3","0","0"
"*04ewm*","C","Jarrett Allen","CLE","C,Flx","Act","","1296.8","28.82","45","45","0.0","0.2",".100","3.0","4.5","3.6","7.5","27","0","1.8","0","1","0"
"*0527l*","Flx","Luguentz Dort","OKC","SG,G,SF,F,Flx","Act","GS<br/>Mon 8:00PM","315.4","16.6","19","19","2.4","7.4",".326","2.5","2.8","0.5","3.5","0","0","3.2","0","2","1"
"*05qtv*","SG","Tyrese Haliburton","SAC","PG,SG,G,Flx","Res","","958.8","25.23","38","38","2.1","4.8",".426","1.9","2.3","0.7","3.1","11","0","1.5","0","0","0"
"*05uij*","PG","Davion Mitchell","SAC","PG,SG,G,Flx","Res","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*05uuj*","SG","Terry Taylor","IND","SG,G,Flx","Res","","10.2","10.2","1","0","0.0","0.0","0","0.0","0.0","4.0","1.0","0","0","3.0","0","0","0"
"*02nf3*","SF","Bradley Beal","WAS","SG,G,SF,F,Flx","IR","MIA<br/>Mon 7:00PM","1162.8","29.07","40","40","1.6","5.3",".300","4.2","5.1","0.9","3.8","4","0","2.4","1","0","0"
"*027oz*","SG","Kawhi Leonard","LAC","SG,G,SF,F,Flx","IR","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*04qsb*","PG","Devonte' Graham","NO","PG,SG,G,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*01enw*","PG","Ricky Rubio","IND","PG,G,Flx","-","","198.5","24.81","8","3","1.6","5.9",".277","2.9","3.1","0.4","4.0","2","0","1.9","0","0","0"
"*051ox*","SG","Nickeil Alexander-Walker","NO","SG,G,SF,F,Flx","-","","31.9","15.95","2","0","1.5","5.5",".273","3.0","3.0","0.5","3.0","0","0","1.5","0","0","0"
"*04qry*","SG","Grayson Allen","MIL","SG,G,SF,F,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*027ov*","SG","Alec Burks","NY","SG,G,SF,F,Flx","-","@UTA<br/>Mon 9:00PM","34.8","34.8","1","1","2.0","6.0",".333","7.0","7.0","0.0","9.0","0","0","3.0","0","0","0"
"*03r7v*","SG","Pat Connaughton","MIL","SG,G,SF,F,Flx","-","","24","24","1","0","1.0","6.0",".167","1.0","1.0","2.0","5.0","0","0","2.0","0","0","0"
"*056aq*","SG","Terence Davis","SAC","SG,G,SF,F,Flx","-","","8.3","8.3","1","0","1.0","4.0",".250","0.0","0.0","0.0","2.0","0","0","5.0","1","0","0"
"*049sa*","SG","Hamidou Diallo","DET","SG,G,SF,F,Flx","-","","69.5","23.17","3","3","0.0","1.3",".000","4.3","5.0","2.7","4.0","1","0","3.0","1","1","0"
"*05qt1*","SG","Payton Pritchard","BOS","PG,SG,G,Flx","-","","9.2","4.6","2","1","0.5","4.5",".111","0.0","0.0","1.0","2.0","0","0","1.5","0","0","0"
"*04qrn*","SF","Mikal Bridges","PHO","SG,G,SF,F,Flx","-","@CHI<br/>Mon 8:00PM","173.5","21.69","8","8","2.6","5.0",".525","0.6","1.0","1.0","3.8","0","0","1.4","0","0","0"
"*051pg*","SF","Cody Martin","CHA","SG,G,SF,F,Flx","-","TOR<br/>Mon 7:00PM","10","10","1","0","0.0","4.0",".000","0.0","0.0","0.0","2.0","0","0","1.0","0","0","0"
"*051pi*","PF","Daniel Gafford","WAS","PF,F,C,Flx","-","MIA<br/>Mon 7:00PM","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"*051or*","PF","Cameron Johnson","PHO","SF,PF,F,Flx","-","@CHI<br/>Mon 8:00PM","32.2","16.1","2","2","1.5","4.5",".333","0.0","0.0","0.0","5.5","0","0","2.0","0","0","0"
"*049kf*","C","Mo Bamba","ORL","C,Flx","-","","0","0","","","0","0","0","0","0","0","0","","","0","","",""
"","Totals","","","","","","11415.6","26.99","423","379","2.1","5.9",".353","3.1","3.7","1.3","5.1","107","3","2.1","20","5","3"
